ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,filter,link,program/id,program/title/0/value,program/body/0/value,program/body/0/summary,program/body/0/format,program/field_formatted_title/0/value,program/field_program_thumbnail/0/target_id,program/field_program_thumbnail/0/alt,program/field_program_thumbnail/0/title,program/field_program_thumbnail/0/width,program/field_program_thumbnail/0/height,program/field_program_thumbnail/0/uri,program/field_duration/0/value,program/field_location/entities/0/tid,program/field_location/entities/0/name/0/value,program/field_location/nids/0,program/field_location/type,program/field_commitment/entities/0/tid,program/field_commitment/entities/0/name/0/value,program/field_commitment/entities/1/tid,program/field_commitment/entities/1/name/0/value,program/field_commitment/nids/0,program/field_commitment/nids/1,program/field_commitment/type,program/field_align_program/type,program/field_degree_type/entities/0/tid,program/field_degree_type/entities/0/name/0/value,program/field_degree_type/entities/0/description/0/value,program/field_degree_type/entities/0/description/0/format,program/field_degree_type/nids/0,program/field_degree_type/type,program/field_undergrad_degree_type/type,program/field_area_of_study/entities/0/tid,program/field_area_of_study/entities/0/name/0/value,program/field_area_of_study/nids/0,program/field_area_of_study/type,program/field_study_options/entities/0/tid,program/field_study_options/entities/0/name/0/value,program/field_study_options/nids/0,program/field_study_options/type,program/field_plus_one/type,program/field_stackable_certificate/nids/0,program/field_stackable_certificate/type,program/field_visa_eligible/nids/0,program/field_visa_eligible/type,program/field_align_transform/value,program/tids/0,program/tids/1,program/tids/2,program/tids/3,program/tids/4,program/tids/5,program/field_area_of_study/entities/1/tid,program/field_area_of_study/entities/1/name/0/value,program/field_area_of_study/entities/2/tid,program/field_area_of_study/entities/2/name/0/value,program/field_area_of_study/nids/1,program/field_area_of_study/nids/2,program/tids/6,program/tids/7,program/field_accredidation/0/value,program/field_accredidation/0/format,program/field_accredidation_link/0/value,program/field_degree_type/entities/1/tid,program/field_degree_type/entities/1/name/0/value,program/field_degree_type/entities/1/description/0/value,program/field_degree_type/entities/1/description/0/format,program/field_degree_type/entities/2/tid,program/field_degree_type/entities/2/name/0/value,program/field_degree_type/entities/2/description/0/value,program/field_degree_type/entities/2/description/0/format,program/field_degree_type/nids/1,program/field_degree_type/nids/2,program/field_plus_one/entities/0/tid,program/field_plus_one/entities/0/name/0/value,program/field_plus_one/nids/0,program/field_study_options/entities/1/tid,program/field_study_options/entities/1/name/0/value,program/field_study_options/nids/1
10097,8,2020-08-12 13:55:55,2020-08-12 13:55:55,-Auto created by import-,Master of Science in Regulatory Affairs - Online,,publish,closed,closed,,master-of-science-in-regulatory-affairs-online-18361,,,2022-11-27 21:39:35,2022-11-27 21:39:35,,0,https://www.northeastern.edu/graduate/program/master-of-science-in-regulatory-affairs-online-18361/,0,program,,0,raw,https://www.northeastern.edu/graduate/program/master-of-science-in-regulatory-affairs-online-18361/,18361,Master of Science in Regulatory Affairs - Online,"<p>The Master of Science in Regulatory Affairs program is designed to produce graduates who are highly qualified to manage global regulatory process for companies innovating and developing cutting-edge products in healthcare and food safety.</p>
",,basic_html,Regulatory Affairs,2388,Master of Science in Regulatory Affairs Online,,100,150,https://pim.northeastern.edu/sites/default/files/2020-06/Behrakis%20copy%202_2.jpg,12-18 months,69,Online,69,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,38,Master's,,,38,taxonomy,taxonomy,59,Regulatory Affairs,59,taxonomy,37,Online,37,taxonomy,taxonomy,,taxonomy,,taxonomy,,69,3,4,38,59,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
11525,1,2021-12-07 22:24:30,2021-12-07 22:24:30,-Auto created by import-,Master of Science in Regulatory Affairs — Toronto,,publish,closed,closed,,master-of-science-in-regulatory-affairs-toronto-19040,,,2022-11-27 21:39:46,2022-11-27 21:39:46,,0,https://www.northeastern.edu/graduate/program/master-of-science-in-regulatory-affairs-toronto-19040/,0,program,,0,raw,https://www.northeastern.edu/graduate/program/master-of-science-in-regulatory-affairs-toronto-19040/,19040,Master of Science in Regulatory Affairs — Toronto,"<p>The Master of Science in Regulatory Affairs program is designed to produce graduates who are highly qualified to manage global regulatory processes for companies innovating and developing cutting-edge products in healthcare and food safety.</p>
",,basic_html,Regulatory Affairs,2556,Master's in Regulatory Affairs,,100,150,https://pim.northeastern.edu/sites/default/files/2021-12/med-reg-affairs-thumb.jpeg,12-18 months,46,Toronto,46,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,38,Master's,,,38,taxonomy,taxonomy,59,Regulatory Affairs,59,taxonomy,41,Hybrid,41,taxonomy,taxonomy,,taxonomy,,taxonomy,,46,3,4,38,59,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
4378,8,2016-10-25 01:17:00,2016-10-25 01:17:00,The Online Graduate Certificate in Remote Sensing provides students with the necessary skills and understanding to apply remote sensing knowledge competently and effectively in a variety of areas.,Graduate Certificate in Remote Sensing — Online,,publish,closed,closed,,graduate-certificate-in-remote-sensing-online-262,,,2022-11-27 21:38:41,2022-11-27 21:38:41,,0,https://www.northeastern.edu/graduate/?post_type=program&#038;p=4378,0,program,,0,raw,https://www.northeastern.edu/graduate/program/graduate-certificate-in-remote-sensing-online-262/,262,Graduate Certificate in Remote Sensing — Online,"<p>The Online Graduate Certificate in Remote Sensing provides students with the necessary skills and understanding to apply remote sensing knowledge competently and effectively in a variety of areas.</p>
",,basic_html,Remote Sensing,405,Graduate Certificate in Remote Sensing — Online,,100,150,https://pim.northeastern.edu/sites/default/files/2016-07/REMOTESENSING_1.jpg,6-12 months,69,Online,69,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,39,Certificate,,,39,taxonomy,taxonomy,26,Engineering,26,taxonomy,37,Online,37,taxonomy,taxonomy,,taxonomy,,taxonomy,,69,3,4,39,26,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
4645,8,2016-10-25 01:12:13,2016-10-25 01:12:13,The Renewable Energy Graduate Certificate program focuses on the combination of analysis and integration of energy systems engineering technology with key renewable engineering technology including solar and wind generation with environmental protection and manufacturing considerations.,Graduate Certificate in Renewable Energy,,publish,closed,closed,,graduate-certificate-in-renewable-energy-14427,,,2022-11-27 21:39:08,2022-11-27 21:39:08,,0,https://www.northeastern.edu/graduate/?post_type=program&#038;p=4645,0,program,,0,raw,https://www.northeastern.edu/graduate/program/graduate-certificate-in-renewable-energy-14427/,14427,Graduate Certificate in Renewable Energy,"<p>The Graduate Certificate in&nbsp;Renewable Energy focuses on the combination of analysis and integration of energy systems engineering technology with key renewable engineering technology including solar and wind generation with environmental protection and manufacturing considerations.</p>
",,basic_html,Renewable Energy,959,Graduate Certificate in Renewable Energy,,100,150,https://pim.northeastern.edu/sites/default/files/2016-08/renew%20thumbnail%20%281%29.jpg,1-1.5 Years,1,Boston,1,taxonomy,4,Part-Time,,,4,,taxonomy,taxonomy,39,Certificate,,,39,taxonomy,taxonomy,26,Engineering,26,taxonomy,40,Classroom,40,taxonomy,taxonomy,,taxonomy,,taxonomy,,1,4,39,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7548,8,2018-07-09 18:39:16,2018-07-09 18:39:16,-Auto created by import-,Master of Science in Robotics,,publish,closed,closed,,master-of-science-in-robotics-17772,,,2022-11-27 21:39:26,2022-11-27 21:39:26,,0,https://www.northeastern.edu/graduate/program/master-of-science-in-robotics-17772/,0,program,,0,raw,https://www.northeastern.edu/graduate/program/master-of-science-in-robotics-17772/,17772,Master of Science in Robotics,"<p>The Master of Science in Robotics&nbsp;at Northeastern looks at this fundamentally interdisciplinary field from three connected angles: mechanical engineering, electrical engineering, and computer science.</p>
",,basic_html,Robotics,2285,Master of Science in Robotics,,100,150,https://pim.northeastern.edu/sites/default/files/2019-10/option2roboticsthumb.jpg,2 Years,1,Boston,1,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,38,Master's,,,38,taxonomy,taxonomy,26,Engineering,26,taxonomy,40,Classroom,40,taxonomy,taxonomy,,taxonomy,,taxonomy,,1,3,4,38,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
12178,1,2022-05-16 18:53:26,2022-05-16 18:53:26,-Auto created by import-,Graduate Certificate in Sales Management – Online,,publish,closed,closed,,graduate-certificate-in-sales-management-online-19116,,,2022-11-27 21:39:54,2022-11-27 21:39:54,,0,https://www.northeastern.edu/graduate/program/graduate-certificate-in-sales-management-online-19116/,0,program,,0,raw,https://www.northeastern.edu/graduate/program/graduate-certificate-in-sales-management-online-19116/,19116,Graduate Certificate in Sales Management – Online,"<p>Northeastern University's Graduate Certificate in Sales Management provides an integrated approach to today's customer-centric sales landscape. The program merges leadership, data analytics, problem-solving, project management, and customer experience.</p>
",,basic_html,Sales Management,2619,Graduate Certificate in Sales Management,,100,150,https://pim.northeastern.edu/sites/default/files/2022-05/SalesManagementThumbnail.jpeg,6-18 months,69,Online,69,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,39,Certificate,,,39,taxonomy,taxonomy,52,Leadership,52,taxonomy,37,Online,37,taxonomy,taxonomy,,taxonomy,,taxonomy,,69,3,4,39,52,24,24,Communications & Journalism,23,Business,24,23,23,37,,,,,,,,,,,,,,,,,,,
4438,8,2016-10-25 01:16:05,2016-10-25 01:16:05,"The School Psychology (MS/CAGS) program seeks to develop school psychologists who have a strong foundation across the following domains of school psychology training and practice.

&nbsp;",Certificate of Advanced Graduate Study in School Psychology,,publish,closed,closed,,certificate-of-advanced-graduate-study-in-school-psychology-651,,,2022-11-27 21:38:43,2022-11-27 21:38:43,,0,https://www.northeastern.edu/graduate/?post_type=program&#038;p=4438,0,program,,0,raw,https://www.northeastern.edu/graduate/program/certificate-of-advanced-graduate-study-in-school-psychology-651/,651,Certificate of Advanced Graduate Study in School Psychology,"<p>The dual&nbsp;MS in Applied Educational Psychology and CAGS in&nbsp;School Psychology&nbsp;program&nbsp;seeks to develop school psychologists who have a strong foundation across the following domains of school psychology training and practice.</p>
",,basic_html,School Psychology (MS/CAGS),864,Certificate of Advanced Graduate Study in School Psychology,,100,150,https://pim.northeastern.edu/sites/default/files/2016-08/Buildings_HighRes_002%20copy%202%20%281%29.jpg,3 Years,1,Boston,1,taxonomy,3,Full-Time,,,3,,taxonomy,taxonomy,38,Master's,,,38,taxonomy,taxonomy,54,Psychology & Mental Health,54,taxonomy,40,Classroom,40,taxonomy,taxonomy,,taxonomy,,taxonomy,,1,3,38,39,70,54,,,,,,,40,,"<p>The dual&nbsp;MS/CAGS school psychology program is approved by the National Association of School Psychologists (NASP) and the Massachusetts Department of Elementary and Secondary Education (MA DESE).</p>
",basic_html,https://www.nasponline.org/,39,Certificate,,,70,Dual Degree,,,39,70,,,,,,
4386,8,2016-10-25 01:16:22,2016-10-25 01:16:22,"This Master of Arts in Teaching degree in Secondary Education is designed to enhance your foundational skills, broaden your perspectives, and strengthen your ability to inspire and educate.",Master of Arts in Teaching in Secondary Education — Boston,,publish,closed,closed,,master-of-arts-in-teaching-in-secondary-education-boston-270,,,2022-11-27 21:38:41,2022-11-27 21:38:41,,0,https://www.northeastern.edu/graduate/?post_type=program&#038;p=4386,0,program,,0,raw,https://www.northeastern.edu/graduate/program/master-of-arts-in-teaching-in-secondary-education-boston-270/,270,Master of Arts in Teaching in Secondary Education — Boston,"<p>This Master of Arts in Teaching in Secondary Education is designed to enhance your foundational skills, broaden your perspectives, and strengthen your ability to inspire and educate.</p>
",,basic_html,Secondary Education,834,Master of Arts in Teaching in Secondary Education — Boston,,100,150,https://pim.northeastern.edu/sites/default/files/2016-08/72542107_0.jpg,12-18 months,1,Boston,1,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,38,Master's,,,38,taxonomy,taxonomy,25,Education & Learning,25,taxonomy,41,Hybrid,41,taxonomy,taxonomy,,taxonomy,,taxonomy,,1,3,4,38,25,41,,,,,,,57,,"<p>The Master of Arts in Secondary Education (grades 8-12) has been approved for initial licensure by the Massachusetts Department of Elementary and Secondary Education in the following content areas: biology, chemistry, English, history, mathematics, and physics.</p>
",basic_html,,,,,,,,,,,,57,Plus One,57,,,
12066,1,2022-04-19 19:38:10,2022-04-19 19:38:10,-Auto created by import-,Master of Arts in Security and Intelligence Studies — Boston,,publish,closed,closed,,master-of-arts-in-security-and-intelligence-studies-boston-19099,,,2022-11-27 21:39:53,2022-11-27 21:39:53,,0,https://www.northeastern.edu/graduate/program/masters-of-arts-in-security-and-intelligence-studies-boston-19099/,0,program,,0,raw,https://www.northeastern.edu/graduate/program/master-of-arts-in-security-and-intelligence-studies-boston-19099/,19099,Master of Arts in Security and Intelligence Studies — Boston,"<p><strong>The Master of Arts in Security and Intelligence Studies program </strong>prepares you to take a leadership role in the security field. You’ll be ready to anticipate and lead responses to security threats in an ever-changing, challenging global environment.</p>
",,basic_html,Security and Intelligence Studies ,2601,Masters of Arts in Security and Intelligence Studies,,100,150,https://pim.northeastern.edu/sites/default/files/2022-04/MASecurityandIntelligenceStudies-thumb.jpg,18 months,1,Boston,1,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,38,Master's,,,38,taxonomy,taxonomy,52,Leadership,52,taxonomy,40,Classroom,40,taxonomy,taxonomy,,taxonomy,,taxonomy,,1,3,4,38,52,31,31,Law & Criminology,29,Humanities & Social Sciences,31,29,29,40,,,,,,,,,,,,,,,,,,,
12067,1,2022-04-19 19:38:46,2022-04-19 19:38:46,-Auto created by import-,Master of Arts in Security and Intelligence Studies — Online,,publish,closed,closed,,master-of-arts-in-security-and-intelligence-studies-online-19112,,,2022-11-27 21:39:53,2022-11-27 21:39:53,,0,https://www.northeastern.edu/graduate/program/masters-of-arts-in-security-and-intelligence-studies-online-19112/,0,program,,0,raw,https://www.northeastern.edu/graduate/program/master-of-arts-in-security-and-intelligence-studies-online-19112/,19112,Master of Arts in Security and Intelligence Studies — Online,"<p><strong>The Master of Arts in Security and Intelligence Studies program </strong>prepares you to take a leadership role in the security field. You’ll be ready to anticipate and lead responses to security threats in an ever-changing, challenging global environment.</p>
",,basic_html,Security and Intelligence Studies ,2609,Masters of Arts in Security and Intelligence Studies,,100,150,https://pim.northeastern.edu/sites/default/files/2022-04/MASecurityandIntelligenceStudies-thumb_1.jpg,18 months,69,Online,69,taxonomy,3,Full-Time,4,Part-Time,3,4,taxonomy,taxonomy,38,Master's,,,38,taxonomy,taxonomy,52,Leadership,52,taxonomy,37,Online,37,taxonomy,taxonomy,,taxonomy,,taxonomy,,69,3,4,38,52,31,31,Law & Criminology,29,Humanities & Social Sciences,31,29,29,37,,,,,,,,,,,,,,,,,,,
4577,8,2016-10-25 01:13:58,2016-10-25 01:13:58,"&nbsp;

The Graduate Certificate in Security and Resilience Studies prepares students to manage contemporary transnational risks through a systematic understanding of the factors that allow us to prepare for, withstand, rapidly recover from, and adapt to natural, man-made, and malicious disruptive events.",Graduate Certificate in Security and Resilience Studies — Boston,,publish,closed,closed,,graduate-certificate-in-security-and-resilience-studies-boston-14293,,,2022-11-27 21:39:06,2022-11-27 21:39:06,,0,https://www.northeastern.edu/graduate/?post_type=program&#038;p=4577,0,program,,0,raw,https://www.northeastern.edu/graduate/program/graduate-certificate-in-security-and-resilience-studies-boston-14293/,14293,Graduate Certificate in Security and Resilience Studies — Boston,"<p>The Graduate Certificate in Security and&nbsp;Resilience Studies prepares students to manage contemporary transnational risks through a systematic understanding of the factors that allow us to prepare for, withstand, rapidly recover from, and adapt to natural, man-made, and malicious disruptive events.</p>
",,basic_html,Security and Resilience Studies,2714,Graduate Certificate in Security and Resilience Studies,,100,150,https://pim.northeastern.edu/sites/default/files/2022-09/MSSRS_Thumbnail_100x150_4.jpg,1 Year,1,Boston,1,taxonomy,4,Part-Time,,,4,,taxonomy,taxonomy,39,Certificate,,,39,taxonomy,taxonomy,53,Political Science & Security,53,taxonomy,41,Hybrid,41,taxonomy,taxonomy,,taxonomy,,taxonomy,,1,4,39,53,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
